Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Actual,Attrition_Probability,Attrition_Prediction,Risk_Tier,AI_Displacement_Score,AI_Displacement_Tier,Quadrant
24,Non-Travel,830,Sales,13,2,Life Sciences,4,0,78,3,1,Sales Representative,2,Married,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0,0,0.42015037,0,Medium,69.8,High,Restructuring Candidate
44,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,0,72,4,1,Research Scientist,4,Married,2011,19982,1,0,13,3,4,1,10,5,3,10,5,7,7,0,0.00015312302,0,Low,29.4,Low,Stable
31,Travel_Rarely,688,Sales,7,3,Life Sciences,3,1,44,2,3,Manager,4,Divorced,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1,0,0.031103333,0,Low,25.4,Low,Stable
44,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,3,1,92,4,5,Manager,1,Divorced,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13,0,0.00012951111,0,Low,25.4,Low,Stable
36,Travel_Rarely,318,Research & Development,9,3,Medical,4,1,79,2,1,Research Scientist,3,Married,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1,0.038329653,0,Low,29.4,Low,Stable
40,Travel_Rarely,448,Research & Development,16,3,Life Sciences,3,0,84,3,3,Manufacturing Director,4,Single,7945,19948,6,1,15,3,4,0,18,2,2,4,2,3,3,0,0.04125414,0,Low,35.4,Medium,Stable
52,Travel_Rarely,319,Research & Development,3,3,Medical,4,1,39,2,3,Manufacturing Director,3,Married,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,0,0.01931349,0,Low,35.4,Medium,Stable
43,Travel_Rarely,823,Research & Development,6,3,Medical,1,0,81,2,5,Manager,3,Married,19392,22539,7,0,13,3,4,0,21,2,3,16,12,6,14,0,0.007227678,0,Low,25.4,Low,Stable
35,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,4,1,49,3,2,Manufacturing Director,3,Married,6883,5151,2,0,16,3,2,1,17,3,3,7,7,0,7,0,0.00070595805,0,Low,35.4,Medium,Stable
18,Non-Travel,1431,Research & Development,14,3,Medical,2,0,33,3,1,Research Scientist,3,Single,1514,8018,1,0,16,3,3,0,0,4,1,0,0,0,0,0,0.83341527,1,High,29.4,Low,Retention Priority
34,Travel_Rarely,678,Research & Development,19,3,Life Sciences,2,0,35,2,1,Research Scientist,4,Married,2929,20338,1,0,12,3,2,0,10,3,3,10,9,8,7,0,0.017155768,0,Low,29.4,Low,Stable
54,Travel_Rarely,1082,Sales,2,4,Life Sciences,3,0,41,2,3,Sales Executive,3,Married,10686,8392,6,0,11,3,2,1,13,4,3,9,4,7,0,0,0.2923846,0,Low,50.4,Medium,Restructuring Candidate
35,Travel_Frequently,138,Research & Development,2,3,Medical,2,0,37,3,2,Laboratory Technician,2,Single,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0,0.02369806,0,Low,68.4,High,Restructuring Candidate
31,Travel_Rarely,196,Sales,29,4,Marketing,1,0,91,2,2,Sales Executive,4,Married,5468,13402,1,0,14,3,1,2,13,3,3,12,7,5,7,0,0.031468768,0,Low,50.4,Medium,Restructuring Candidate
